OBJECTID,ORIGID,CountyName,PopulationCensus16,TimeStamp,IGEasting,IGNorthing,Lat,Long,UGI,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,Shape__Area,Shape__Length
12306,8,Kerry,147707,2020-03-02T00:00:00.000Z,92975,102996,52.1689,-9.565,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,0,,,,12483603408,1753779.819
12307,9,Kildare,222504,2020-03-02T00:00:00.000Z,281262,221513,53.238,-6.7837,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,0,,,,4726063622,422182.0368
12308,10,Kilkenny,99232,2020-03-02T00:00:00.000Z,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,0,,,,5585391835,453397.5722
12309,11,Laois,84697,2020-03-02T00:00:00.000Z,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,0,,,,4731211499,398512.4622
12310,12,Leitrim,32044,2020-03-02T00:00:00.000Z,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,0,,,,4618679673,453253.685
12311,13,Limerick,194899,2020-03-02T00:00:00.000Z,149743,141780,52.5255,-8.7412,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,0,,,,7206726912,673892.6905
12312,14,Longford,40873,2020-03-02T00:00:00.000Z,220162,275901,53.7325,-7.6952,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,0,,,,3097977869,315245.1728
12313,15,Louth,128884,2020-03-02T00:00:00.000Z,299463,297349,53.9161,-6.487,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,0,,,,2386326963,352203.5172
12314,16,Mayo,130507,2020-03-02T00:00:00.000Z,117679,297355,53.9191,-9.2537,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,0,,,,16036984139,2101964.077
12315,17,Meath,195044,2020-03-02T00:00:00.000Z,284946,271349,53.6851,-6.715,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,0,,,,6658570746,554844.7505
12316,18,Monaghan,61386,2020-03-02T00:00:00.000Z,268914,326818,54.1857,-6.9452,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,0,,,,3768943157,392803.0473
12317,19,Offaly,77961,2020-03-02T00:00:00.000Z,222690,223679,53.2632,-7.6607,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,0,,,,5558826350,561440.3786
12318,20,Roscommon,64544,2020-03-02T00:00:00.000Z,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,0,,,,7278743876,622494.1546
12319,21,Sligo,65535,2020-03-02T00:00:00.000Z,165130,323355,54.1581,-8.5345,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,0,,,,5348370378,682286.8703
12320,22,Tipperary,159553,2020-03-02T00:00:00.000Z,205427,154345,52.6407,-7.9206,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,0,,,,11551196729,781276.5797
12321,23,Waterford,116176,2020-03-02T00:00:00.000Z,234676,105809,52.2035,-7.4935,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,0,,,,4848379555,643184.904
12322,24,Westmeath,88770,2020-03-02T00:00:00.000Z,238362,255966,53.5524,-7.4219,http://data.geohive.ie/resource/county/2ae19629-144c-13a3-e055-000000000001,0,,,,5208705730,422669.3327
12323,25,Wexford,149722,2020-03-02T00:00:00.000Z,301627,141559,52.5164,-6.5037,http://data.geohive.ie/resource/county/2ae19629-144d-13a3-e055-000000000001,0,,,,6332221063,589324.4767
12324,26,Wicklow,142425,2020-03-02T00:00:00.000Z,311162,197894,53.0205,-6.3442,http://data.geohive.ie/resource/county/2ae19629-144e-13a3-e055-000000000001,0,,,,5580728579,427539.1986
12325,1,Carlow,56932,2020-03-03T00:00:00.000Z,278661,163444,52.7168,-6.8367,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,0,,,,2432351721,319348.5725
12326,2,Cavan,76176,2020-03-03T00:00:00.000Z,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,0,,,,5575009911,515954.4965
12327,3,Clare,118817,2020-03-03T00:00:00.000Z,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,0,,,,8722541706,1013948.95
12328,4,Cork,542868,2020-03-03T00:00:00.000Z,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,0,,,,19529490886,2129949.409
12329,5,Donegal,159192,2020-03-03T00:00:00.000Z,202615,405691,54.8989,-7.96,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,0,,,,14624041937,2145085.774
